地域階層コード,地域コード,地域名,性別コード,性別,年齢階級,2020年,2025年,2030年,2035年,2040年,2045年
0,13000,東京都,0,男女計,総数,14047594,14214308,14264859,14206774,14033782,13841579
0,13000,東京都,0,男女計,0～4歳,521560,452217,500322,497086,478970,459688
0,13000,東京都,0,男女計,5～9歳,532323,503735,441985,485909,483083,466826
0,13000,東京都,0,男女計,10～14歳,514532,530093,500338,438454,479210,477236
0,13000,東京都,0,男女計,15～19歳,550705,550689,590768,555748,488627,527381
0,13000,東京都,0,男女計,20～24歳,857660,809591,793211,813513,749833,665330
0,13000,東京都,0,男女計,25～29歳,987393,1118632,964825,938634,936825,862647
0,13000,東京都,0,男女計,30～34歳,958959,1009077,1100329,969492,938324,934441
0,13000,東京都,0,男女計,35～39歳,1009207,927244,998293,1075154,955208,928344
0,13000,東京都,0,男女計,40～44歳,1065587,978877,888421,946898,1016569,912385
0,13000,東京都,0,男女計,45～49歳,1184918,1047920,972599,880386,930573,998319
0,13000,東京都,0,男女計,50～54歳,1067683,1168244,1034942,957106,864951,912197
0,13000,東京都,0,男女計,55～59歳,894511,1040791,1145994,1012857,934324,845202
0,13000,東京都,0,男女計,60～64歳,707805,854936,1001367,1103392,974430,899316
0,13000,東京都,0,男女計,65～69歳,696092,669657,805715,943248,1040665,920047
0,13000,東京都,0,男女計,70～74歳,804285,644030,621973,747597,875369,967181
0,13000,東京都,0,男女計,75～79歳,646882,724490,581880,561558,674455,790070
0,13000,東京都,0,男女計,80～84歳,499679,547774,613064,492915,475320,572785
0,13000,東京都,0,男女計,85～89歳,343868,370539,406400,455616,366746,357557
0,13000,東京都,0,男女計,90歳以上,203945,265772,302433,331211,370300,344627
0,13000,東京都,1,男,総数,6898388,6955680,6963583,6926093,6834243,6730855
0,13000,東京都,1,男,0～4歳,266632,231165,255728,254053,244790,234936
0,13000,東京都,1,男,5～9歳,272175,258042,226406,248755,247210,238843
0,13000,東京都,1,男,10～14歳,263844,271248,256480,224718,245430,244292
0,13000,東京都,1,男,15～19歳,279541,280895,300909,283718,249629,269429
0,13000,東京都,1,男,20～24歳,426874,403393,397081,407819,377699,335582
0,13000,東京都,1,男,25～29歳,498313,554087,478190,467583,467478,432765
0,13000,東京都,1,男,30～34歳,485313,508558,544706,480208,467075,465836
0,13000,東京都,1,男,35～39歳,515494,467758,501422,530935,472161,461397
0,13000,東京都,1,男,40～44歳,543344,497753,446017,473765,500460,450001
0,13000,東京都,1,男,45～49歳,598969,531920,492101,440194,464124,490283
0,13000,東京都,1,男,50～54歳,545941,588076,522906,482351,431015,453692
0,13000,東京都,1,男,55～59歳,461404,530107,574514,509829,469161,419733
0,13000,東京都,1,男,60～64歳,359474,437128,505402,548486,486639,448352
0,13000,東京都,1,男,65～69歳,344795,335163,405899,469439,510438,453818
0,13000,東京都,1,男,70～74歳,380852,311104,304010,368227,426244,464448
0,13000,東京都,1,男,75～79歳,282261,326331,268721,263177,319315,370610
0,13000,東京都,1,男,80～84歳,199322,220610,256149,212406,208920,255792
0,13000,東京都,1,男,85～89歳,120801,131577,145612,170705,142640,142782
0,13000,東京都,1,男,90歳以上,53039,70765,81330,89725,103815,98264
0,13000,東京都,2,女,総数,7149206,7258628,7301276,7280681,7199539,7110724
0,13000,東京都,2,女,0～4歳,254928,221052,244594,243033,234180,224752
0,13000,東京都,2,女,5～9歳,260148,245693,215579,237154,235873,227983
0,13000,東京都,2,女,10～14歳,250688,258845,243858,213736,233780,232944
0,13000,東京都,2,女,15～19歳,271164,269794,289859,272030,238998,257952
0,13000,東京都,2,女,20～24歳,430786,406198,396130,405694,372134,329748
0,13000,東京都,2,女,25～29歳,489080,564545,486635,471051,469347,429882
0,13000,東京都,2,女,30～34歳,473646,500519,555623,489284,471249,468605
0,13000,東京都,2,女,35～39歳,493713,459486,496871,544219,483047,466947
0,13000,東京都,2,女,40～44歳,522243,481124,442404,473133,516109,462384
0,13000,東京都,2,女,45～49歳,585949,516000,480498,440192,466449,508036
0,13000,東京都,2,女,50～54歳,521742,580168,512036,474755,433936,458505
0,13000,東京都,2,女,55～59歳,433107,510684,571480,503028,465163,425469
0,13000,東京都,2,女,60～64歳,348331,417808,495965,554906,487791,450964
0,13000,東京都,2,女,65～69歳,351297,334494,399816,473809,530227,466229
0,13000,東京都,2,女,70～74歳,423433,332926,317963,379370,449125,502733
0,13000,東京都,2,女,75～79歳,364621,398159,313159,298381,355140,419460
0,13000,東京都,2,女,80～84歳,300357,327164,356915,280509,266400,316993
0,13000,東京都,2,女,85～89歳,223067,238962,260788,284911,224106,214775
0,13000,東京都,2,女,90歳以上,150906,195007,221103,241486,266485,246363
1,13100,区部,0,男女計,総数,9733276,9888783,10006402,10049361,10006622,9945203
1,13100,区部,0,男女計,0～4歳,367819,322253,360877,361523,349621,335343
1,13100,区部,0,男女計,5～9歳,358843,347934,309599,345971,347804,338075
1,13100,区部,0,男女計,10～14歳,334045,354521,344429,306211,340466,342901
1,13100,区部,0,男女計,15～19歳,347620,353632,392533,379924,339248,372752
1,13100,区部,0,男女計,20～24歳,590646,547533,543308,565868,529143,474316
1,13100,区部,0,男女計,25～29歳,751069,842280,723919,699741,695045,641437
1,13100,区部,0,男女計,30～34歳,725456,774199,838211,735820,706142,699007
1,13100,区部,0,男女計,35～39歳,744430,694891,761252,815064,722139,696641
1,13100,区部,0,男女計,40～44歳,765239,715501,662161,719085,768229,687913
